Date,NO2,O3,PM2.5,PM10,Date_raw,PM2.5_%ER,PM10_%ER,NO2_%ER,O3_%ER,PMmax_%ER,PMmax_source,LP_PM2.5,LP_PM10,LP_NO2,LP_O3,LP_PMmax,LP_total,Total_%ER,AQHI_Band
2000-10-03,34,47,8.6,19.5,10/03/2000,0.5597005032113467,0.8007389020711742,2.471241244710054,2.036764639878119,0.8007389020711742,PM10,0.005581399999999999,0.0079755,0.024412,0.020163,0.0079755,0.0525505,5.395578550180247,Low
2000-11-03,36,43,6.1,14.5,11/03/2000,0.3966746796081555,0.5948120230162113,2.6184956504964108,1.8618196974460988,0.5948120230162113,PM10,0.0039589,0.0059305,0.025848,0.018447,0.0059305,0.050225500000000006,5.150818473896512,Low
2000-12-03,30,90,11.3,19.6,12/03/2000,0.7360657436803031,0.804861736603657,2.177366046639251,3.936505222580089,0.804861736603657,PM10,0.007333699999999999,0.008016400000000002,0.02154,0.03861,0.008016400000000002,0.0681664,7.054343208557823,Low
2000-03-13,28,49,7.9,18.7,13/03/2000,0.5140266068838439,0.7677622955694519,2.0307446483558644,2.124349752579402,0.7677622955694519,PM10,0.0051271,0.0076483,0.020104,0.021021,0.0076483,0.048773300000000006,4.998229277140576,Low
2000-03-14,19,75,10.5,26.3,14/03/2000,0.6837771536387649,1.0814761293336028,1.3735476667895652,3.2698211679893507,1.0814761293336028,PM10,0.006814499999999999,0.010756700000000001,0.013642,0.032175,0.010756700000000001,0.056573700000000005,5.820460160551533,Low
2000-03-15,36,33,11.3,30.7,15/03/2000,0.7360657436803031,1.2635461312266116,2.6184956504964108,1.4257684895456313,1.2635461312266116,PM10,0.007333699999999999,0.012556300000000001,0.025848,0.014157000000000001,0.012556300000000001,0.052561300000000005,5.3967168285752765,Low
2000-03-16,28,57,16.7,30.6,16/03/2000,1.0897247143234479,1.2594045368860218,2.0307446483558644,2.4754426517293426,1.2594045368860218,PM10,0.010838299999999999,0.012515400000000001,0.020104,0.024453000000000003,0.012515400000000001,0.0570724,5.873245985084963,Low
2000-03-17,26,65,13.4,24.4,17/03/2000,0.8734525286406836,1.0029562270929437,1.8843336472990524,2.8277425717722293,1.0029562270929437,PM10,0.008696599999999999,0.0099796,0.018668,0.027885,0.0099796,0.0565326,5.816111029014204,Low
2000-03-18,40,92,19.7,35.9,18/03/2000,1.2867381386741705,1.4791426251832718,2.913639593835593,4.025721012161676,1.4791426251832718,PM10,0.012785299999999998,0.014683100000000001,0.02872,0.039468,0.014683100000000001,0.0828711,8.640176233528862,Moderate
2000-03-19,34,69,12.3,33.1,19/03/2000,0.8014646700040373,1.3629952297413261,2.471241244710054,3.004346460825724,1.3629952297413261,PM10,0.0079827,0.013537900000000002,0.024412,0.029601000000000002,0.013537900000000002,0.0675509,6.9884715344002535,Low
2000-03-20,30,26,13.3,24.9,20/03/2000,0.8669060540069662,1.0236134437697997,2.177366046639251,1.1216437785749545,1.0236134437697997,PM10,0.008631699999999999,0.0101841,0.02154,0.011154,0.0101841,0.0428781,4.381064657717015,Low
2000-03-21,26,26,4.3,18.5,21/03/2000,0.2794597628105189,0.7595198297351224,1.8843336472990524,1.1216437785749545,0.7595198297351224,PM10,0.0027906999999999997,0.0075665,0.018668,0.011154,0.0075665,0.037388500000000005,3.809624289756619,Low
2000-03-22,28,31,5.0,23.2,22/03/2000,0.32502707121115915,0.9533961392170998,2.0307446483558644,1.3387825025063638,0.9533961392170998,PM10,0.0032449999999999996,0.0094888,0.020104,0.013299,0.0094888,0.0428918,4.382494688098504,Low
2000-03-23,26,35,8.6,19.9,23/03/2000,0.5597005032113467,0.8172312519930003,1.8843336472990524,1.5128291425889007,0.8172312519930003,PM10,0.005581399999999999,0.0081391,0.018668,0.015015,0.0081391,0.0418221,4.270896432499094,Low
2000-03-24,19,43,4.3,17.2,24/03/2000,0.2794597628105189,0.7059602331221937,1.3735476667895652,1.8618196974460988,0.7059602331221937,PM10,0.0027906999999999997,0.0070348,0.013642,0.018447,0.0070348,0.0391238,3.9899215204352467,Low
2000-03-25,24,45,4.0,15.9,25/03/2000,0.2599372525727395,0.652429106577368,1.7381327415552095,1.949254642974263,0.652429106577368,PM10,0.002596,0.0065031,0.017232,0.019305,0.0065031,0.0430401,4.397975759953865,Low
2000-03-26,28,65,5.9,15.7,26/03/2000,0.38364403694175486,0.6441960746120579,2.0307446483558644,2.8277425717722293,0.6441960746120579,PM10,0.0038290999999999998,0.0064213000000000004,0.020104,0.027885,0.0064213000000000004,0.0544103,5.591775634284923,Low
2000-03-27,34,77,11.9,24.9,27/03/2000,0.7753000060960025,1.0236134437697997,2.471241244710054,3.35846469718748,1.0236134437697997,PM10,0.007723099999999999,0.0101841,0.024412,0.033033,0.0101841,0.0676291,6.996838360012858,Low
2000-03-28,47,73,17.7,28.4,28/03/2000,1.155353239816015,1.1683323042258609,3.4321855608813845,3.1812536623204934,1.1683323042258609,PM10,0.011487299999999999,0.0116156,0.033746,0.031317000000000005,0.0116156,0.07667860000000001,7.969500664634355,Low
2000-03-29,34,61,12.9,26.2,29/03/2000,0.8407244037206052,1.077341981503821,2.471241244710054,2.6514414751221738,1.077341981503821,PM10,0.0083721,0.010715800000000001,0.024412,0.026169,0.010715800000000001,0.0612968,6.321442940506827,Low
2000-03-30,26,53,6.9,23.0,30/03/2000,0.4488141673415713,0.945138489155406,1.8843336472990524,2.299745583337587,0.945138489155406,PM10,0.0044781,0.009407,0.018668,0.022737,0.009407,0.050812,5.212507517475151,Low
2000-03-31,55,106,16.2,38.9,31/03/2000,1.0569264204646434,1.603733954333486,4.028009603198335,4.652379464155998,1.603733954333486,PM10,0.010513799999999998,0.0159101,0.03949,0.045474,0.0159101,0.1008741,10.613737030154802,Moderate
2000-01-04,53,49,15.0,31.6,1/04/2000,0.9782539252144673,1.3008281038836111,3.8787325879570567,2.124349752579402,1.3008281038836111,PM10,0.009734999999999999,0.0129244,0.038054,0.021021,0.0129244,0.0719994,7.4654699270800595,Low
2000-02-04,28,27,12.6,24.2,2/04/2000,0.8210926258947815,0.9946945231818605,2.0307446483558644,1.165034270350973,0.9946945231818605,PM10,0.0081774,0.0098978,0.020104,0.011583000000000001,0.0098978,0.041584800000000005,4.246155884357794,Low
2000-03-04,34,63,8.7,19.4,3/04/2000,0.5662270395578206,0.7966162361591644,2.471241244710054,2.739554206864292,0.7966162361591644,PM10,0.005646299999999999,0.0079346,0.024412,0.027027000000000002,0.0079346,0.059373600000000006,6.11716204092112,Low
