Date,NO2,O3,PM2.5,PM10
12/12/2000,36,104,19.9,42.6
13/12/2000,30,100,17.5,36.5
14/12/2000,26,45,9.7,21.6
15/12/2000,19,59,6.6,21.2
16/12/2000,19,65,7.7,18
17/12/2000,23,79,6,15.8
18/12/2000,30,82,10.6,27.2
19/12/2000,26,110,13,20.9
20/12/2000,36,114,13.2,25
21/12/2000,36,130,18.5,38.8
22/12/2000,36,92,10.7,26.2
23/12/2000,24,53,8.2,31.4
24/12/2000,26,79,8,25.1
25/12/2000,21,75,13.3,42.3
26/12/2000,23,90,11.7,38.6
27/12/2000,24,77,11.5,39.3
28/12/2000,8,63,5.2,20.2
29/12/2000,13,63,7.7,23.5
30/12/2000,8,55,5.9,21.6
31/12/2000,17,45,6,17.7
1/01/2001,19,65,16.3,22.7
2/01/2001,17,88,7.6,26.7
3/01/2001,30,116,10.5,29.8
4/01/2001,34,135,13.7,38.8
5/01/2001,28,118,23,40.7
6/01/2001,15,59,4.9,18.2
7/01/2001,13,51,5.4,18.8
8/01/2001,17,45,7.1,22.4
9/01/2001,11,41,7,24.2
10/01/2001,19,63,6,24
11/01/2001,21,79,10.2,26.5
12/01/2001,24,147,19.1,37.6
13/01/2001,19,61,13.3,34.9
14/01/2001,19,79,7.7,24.5
15/01/2001,21,130,30.1,86.3
16/01/2001,11,39,9.5,35.3
17/01/2001,11,49,8.5,25.4
18/01/2001,17,43,6.2,15.6
19/01/2001,17,45,7.7,18.3
20/01/2001,17,61,5.2,19.6
21/01/2001,17,116,13.3,27.6
22/01/2001,26,118,14.5,27.3
23/01/2001,43,181,29.1,48.9
24/01/2001,34,153,21.4,38.9
25/01/2001,34,130,18.2,39.9
26/01/2001,13,114,17,27
27/01/2001,15,114,13.8,25.1
28/01/2001,15,45,10.7,26.4
29/01/2001,17,53,12.4,28
30/01/2001,17,29,9.3,23.5
31/01/2001,21,37,5,12.4
1/02/2001,15,39,7.8,25.3
2/02/2001,15,35,10.9,29.9
3/02/2001,17,57,12.3,32.6
4/02/2001,23,90,13.2,28.7
5/02/2001,17,79,17,28.6
6/02/2001,15,29,7.4,16.3
7/02/2001,23,41,8.3,24.1
8/02/2001,19,73,13.7,27.6
9/02/2001,45,130,20.3,34.7
10/02/2001,43,67,14.7,36.6
11/02/2001,15,41,7.4,22.8
12/02/2001,21,71,13.1,28.4
13/02/2001,36,100,15.3,29
14/02/2001,36,71,12.8,25.8
15/02/2001,23,31,6.2,18.2
16/02/2001,15,35,6.2,17.4
17/02/2001,15,49,5.8,14.2
18/02/2001,19,57,5.2,15.6
19/02/2001,23,73,15.3,24.2
20/02/2001,21,51,10.8,21.5
21/02/2001,23,53,9.9,19.6
22/02/2001,24,84,14.9,28.9
23/02/2001,26,96,12.2,27
24/02/2001,26,124,17.9,33
25/02/2001,15,65,8.3,20.8
26/02/2001,26,104,18.3,33.8
27/02/2001,28,100,20.1,40.5
28/02/2001,32,98,15.5,32.1
1/03/2001,21,43,8.1,25.2
2/03/2001,24,71,11.4,21.5
3/03/2001,21,49,7.9,16.9
4/03/2001,15,47,5.1,20.2
5/03/2001,15,43,7.1,21.4
6/03/2001,13,35,10.4,29.4
7/03/2001,15,31,9.3,25.1
8/03/2001,15,39,11.7,27.4
9/03/2001,15,27,7.8,23.4
10/03/2001,13,33,8.5,24.6
11/03/2001,17,37,6.4,20.4
12/03/2001,32,61,11.2,21
13/03/2001,23,53,17.5,34.2
14/03/2001,21,57,16.8,29.3
15/03/2001,24,63,20.6,30.3
16/03/2001,21,57,17.4,24.7
17/03/2001,19,51,7.1,15.4
18/03/2001,19,61,5.5,19.6
19/03/2001,23,61,11.2,22.6
20/03/2001,38,84,20.7,31.8
21/03/2001,34,55,23.4,34.9
22/03/2001,26,51,13.1,21.8
23/03/2001,40,61,14.1,25.9
24/03/2001,51,47,16.5,38.5
25/03/2001,30,26,15.5,26.9
26/03/2001,36,63,12.3,25.9
27/03/2001,45,71,15.2,26.6
28/03/2001,26,53,9.3,28.3
29/03/2001,28,55,8.5,24.7
30/03/2001,28,47,11.4,23.4
31/03/2001,24,57,10.7,22.4
1/04/2001,32,77,11.2,26.6
2/04/2001,28,53,19.7,37.8
3/04/2001,32,37,10.4,22.8
4/04/2001,45,73,17.6,28.5
5/04/2001,47,96,25,44.6
6/04/2001,49,86,24.6,36
7/04/2001,38,75,15.1,30.7
8/04/2001,24,49,11.5,20.5
9/04/2001,28,71,17.1,35.7
10/04/2001,28,37,12.6,24.3
11/04/2001,24,61,11.3,29
12/04/2001,26,45,7.2,22.9
13/04/2001,28,63,13,26.3
14/04/2001,34,67,11.1,23.9
15/04/2001,49,77,12.6,25.2
16/04/2001,41,92,14.2,28.7
17/04/2001,68,86,20.3,33.4
18/04/2001,55,124,26.5,46.6
19/04/2001,43,57,27.8,47.1
20/04/2001,26,31,12.1,31
21/04/2001,34,24,8.2,14.1
22/04/2001,30,33,6.4,10.8
23/04/2001,34,59,9,21.1
24/04/2001,21,41,4.3,12
25/04/2001,34,67,9.3,21.6
26/04/2001,53,65,18.3,27.6
27/04/2001,72,80,25.6,32.2
28/04/2001,62,53,25.3,30.9
29/04/2001,26,51,5.9,17.8
30/04/2001,23,41,4.8,13.5
1/05/2001,26,39,5,12.2
2/05/2001,32,43,5.9,14.5
3/05/2001,40,47,16.5,22.9
4/05/2001,56,59,20.8,27.3
5/05/2001,43,29,20.8,30.5
6/05/2001,15,41,4,10.7
7/05/2001,15,39,5.1,13.2
8/05/2001,23,41,3.6,9.2
9/05/2001,19,43,4.2,11.1
10/05/2001,34,51,8.1,19.7
11/05/2001,36,49,9.5,21
12/05/2001,41,59,16.7,29.4
13/05/2001,45,57,21.5,29.5
14/05/2001,60,57,20.8,32.5
15/05/2001,43,55,23.8,36.8
16/05/2001,32,55,11.4,20.2
17/05/2001,34,49,14.7,52.4
18/05/2001,30,35,12.9,22.9
19/05/2001,32,41,11.2,20.5
20/05/2001,34,53,20.1,25.1
21/05/2001,32,47,18.3,23.4
22/05/2001,28,43,12.2,20.7
23/05/2001,34,45,13.6,22.2
24/05/2001,28,51,16.9,27.9
25/05/2001,38,51,20.7,32.1
26/05/2001,38,51,21.1,32.7
27/05/2001,34,51,20,27
28/05/2001,32,43,13.9,19.5
29/05/2001,21,43,3.7,10
30/05/2001,38,47,16.4,25.8
31/05/2001,38,45,18.9,26.7
1/06/2001,32,27,22.9,25.2
2/06/2001,32,39,26.1,31.3
3/06/2001,38,55,29.2,31.5
4/06/2001,47,45,28.2,32.2
5/06/2001,49,39,33.9,31.2
6/06/2001,38,37,32,30.1
7/06/2001,30,18,26.6,28.4
8/06/2001,32,27,22.6,22.9
9/06/2001,30,47,15.9,22.1
10/06/2001,24,51,24.9,24.4
11/06/2001,32,49,17,19.8
12/06/2001,32,8,22.7,28.4
13/06/2001,24,43,17.3,20.1
14/06/2001,24,51,7.5,14
15/06/2001,28,51,11.7,18.1
16/06/2001,34,53,13.9,24
17/06/2001,34,53,15.7,24.5
18/06/2001,41,47,23.5,32.2
19/06/2001,40,43,24.8,31.4
20/06/2001,40,41,20.9,27
21/06/2001,34,47,12.9,21.4
22/06/2001,38,47,23.3,36.1
23/06/2001,34,39,35.1,41
24/06/2001,36,41,27.2,33.1
25/06/2001,40,43,22.4,36.5
26/06/2001,38,49,20.4,32.9
27/06/2001,45,47,18,35.7
28/06/2001,40,37,26.4,41.5
29/06/2001,51,51,27.2,39.8
30/06/2001,41,59,27.4,38.1
1/07/2001,40,61,25.1,35.2
2/07/2001,43,45,23.4,31.4
3/07/2001,36,49,18.2,23.6
4/07/2001,36,53,10.6,21.4
5/07/2001,41,51,16.7,28
6/07/2001,38,55,15,19.6
7/07/2001,28,51,11.5,17.3
8/07/2001,30,47,22.4,23.5
9/07/2001,32,43,19.6,20.3
10/07/2001,34,51,13.5,22.9
11/07/2001,36,45,15.6,20.4
12/07/2001,38,35,19.3,28.5
13/07/2001,40,20,24.4,30.4
14/07/2001,26,49,19.9,22
15/07/2001,26,51,13.3,14.9
16/07/2001,32,51,12.1,20.3
17/07/2001,28,55,6.9,17.1
18/07/2001,40,55,13,28.6
19/07/2001,40,53,13.9,24.5
20/07/2001,38,55,8.7,25.8
21/07/2001,34,57,9.8,20.4
22/07/2001,38,47,8,18.3
23/07/2001,43,41,14.8,24.1
24/07/2001,40,51,12,24.9
25/07/2001,43,33,14,19.3
26/07/2001,45,16,14.5,19.4
27/07/2001,34,41,5.6,10.6
28/07/2001,8,57,2.7,12.6
29/07/2001,15,57,4,11.2
30/07/2001,41,45,11.2,19.2
31/07/2001,34,61,12.2,18.2
1/08/2001,24,59,10.2,17.4
2/08/2001,43,61,20.7,29.5
3/08/2001,47,57,16.5,26.3
4/08/2001,36,57,15.8,23.1
5/08/2001,28,63,12.2,18
6/08/2001,26,57,7.5,15.6
7/08/2001,40,57,13.6,25.6
8/08/2001,21,59,4.7,16.8
9/08/2001,40,59,12.4,27.4
10/08/2001,40,59,20.9,36.5
11/08/2001,43,69,26.3,34.3
12/08/2001,41,79,26.4,35.5
13/08/2001,41,61,26.4,36.1
14/08/2001,41,49,17.6,22.7
15/08/2001,41,63,17.7,23.8
16/08/2001,36,67,15.8,24.2
17/08/2001,24,63,7.4,53.9
18/08/2001,19,57,3.5,33.4
19/08/2001,19,59,8.5,14.5
20/08/2001,21,57,8.3,18.5
21/08/2001,23,57,7.8,12
22/08/2001,19,61,3.5,14.5
23/08/2001,41,61,12.2,27.6
24/08/2001,45,67,13.8,25.9
25/08/2001,40,71,20,35.5
26/08/2001,38,65,26.8,33.3
27/08/2001,19,45,3.5,7.8
28/08/2001,28,57,4.4,10.9
29/08/2001,24,51,4.3,10.2
30/08/2001,34,63,6.5,15.5
31/08/2001,43,61,16.4,22.7
1/09/2001,40,47,15.6,23.9
2/09/2001,32,55,15.9,20.6
3/09/2001,32,63,10.6,15.7
4/09/2001,40,61,15.8,22.4
5/09/2001,32,53,7.1,20.7
6/09/2001,34,59,11.2,20.8
7/09/2001,38,26,18.5,29.4
8/09/2001,21,73,10.8,37.1
9/09/2001,30,67,10.4,19.3
10/09/2001,40,67,16.4,22.5
11/09/2001,40,71,17.6,28
12/09/2001,23,65,10.2,19.4
13/09/2001,41,69,10.2,20.6
14/09/2001,38,65,14.4,23.6
15/09/2001,36,79,10.8,22.7
16/09/2001,34,79,13.9,19.6
17/09/2001,28,61,18.2,35
18/09/2001,24,65,13,27.4
19/09/2001,38,73,21.2,31.6
20/09/2001,40,84,22.5,34.3
21/09/2001,36,71,14.5,34.2
22/09/2001,30,84,19.2,26.4
23/09/2001,32,77,20.6,31.1
24/09/2001,40,88,26.3,37.1
25/09/2001,32,73,14,39.1
26/09/2001,15,61,5.5,19.3
27/09/2001,24,59,7.4,24.4
28/09/2001,40,61,10.9,21.6
29/09/2001,36,86,16.4,28.4
30/09/2001,30,102,17.9,27
1/10/2001,32,100,19.4,35.8
2/10/2001,30,80,16,26.3
3/10/2001,24,69,9.1,13.5
4/10/2001,34,65,7.1,16.5
5/10/2001,32,63,8.5,15.8
6/10/2001,32,71,8.3,16.7
7/10/2001,28,59,4.8,15.2
8/10/2001,11,63,8.6,29.3
9/10/2001,36,67,8.3,27.7
10/10/2001,36,84,14.6,23.3
11/10/2001,32,26,16,24.1
12/10/2001,34,63,10,20.1
13/10/2001,32,71,9,21.1
14/10/2001,26,61,5.9,14.1
15/10/2001,30,71,7.2,21.7
16/10/2001,40,73,9,18.5
17/10/2001,41,69,10,24.7
18/10/2001,40,73,11,23.5
19/10/2001,23,63,6.3,20.6
20/10/2001,19,61,6,19.6
21/10/2001,28,75,9,20.9
22/10/2001,30,77,12.3,26.7
23/10/2001,34,86,14.4,41.8
24/10/2001,36,73,20.9,33.6
25/10/2001,41,79,11.3,25.9
26/10/2001,40,65,9.8,20.8
27/10/2001,28,59,8.6,17.9
28/10/2001,36,71,10.5,23.3
29/10/2001,26,67,10.7,26.5
30/10/2001,30,59,9.9,25.6
31/10/2001,24,55,11.1,21.7
1/11/2001,30,71,11.7,35.3
2/11/2001,34,67,15.3,35.6
3/11/2001,26,47,7.3,19.9
4/11/2001,26,73,9.3,22.8
5/11/2001,23,102,28.5,44.9
6/11/2001,34,59,23.3,49.9
7/11/2001,24,65,11.5,24.4
8/11/2001,23,49,4.5,16.1
9/11/2001,43,53,11.4,24.9
10/11/2001,40,96,14.3,25.5
11/11/2001,24,80,12.5,22.9
12/11/2001,17,47,2.8,9.6
13/11/2001,30,59,9.4,18.8
14/11/2001,28,65,13.5,26.7
15/11/2001,32,61,11.4,25
16/11/2001,28,49,11.6,24.3
17/11/2001,28,80,14.2,29.3
18/11/2001,32,75,11.4,41.5
19/11/2001,9,45,5.2,16.2
20/11/2001,11,41,4.6,14
21/11/2001,9,41,6.4,18.8
22/11/2001,30,67,7.1,22.4
23/11/2001,30,65,9.8,21.4
24/11/2001,34,98,22.4,35.3
25/11/2001,36,67,21.1,31.1
26/11/2001,28,73,14.9,34.3
27/11/2001,11,57,9.3,26.5
28/11/2001,21,49,8.9,18.5
29/11/2001,30,79,12.7,26.2
30/11/2001,38,80,19.4,34.5
1/12/2001,17,75,12.9,29.4
2/12/2001,23,84,14.3,33.5
3/12/2001,36,102,22.1,40.3
4/12/2001,28,84,21.6,33.9
5/12/2001,13,43,4.2,16.3
6/12/2001,32,53,12.5,29.7
7/12/2001,30,77,16,38.1
8/12/2001,17,31,5,15.5
9/12/2001,23,57,6.6,22.7
10/12/2001,23,59,11.9,21.7
11/12/2001,17,49,11.9,31.5
